name,2020,type
FEshop,"$60,245,460",Fraud
Empire Market,"$59,121,790",Drugs
Unicc,"$52,187,520",Fraud
DarkMarket,"$38,358,230",Drugs
Bypass Shop,"$28,262,760",Fraud
Joker's Stash Market,"$24,802,550",Fraud
Apollon Market,"$10,529,760",Drugs
Brian Dumps,"$6,918,170",Fraud
SlilPP Market,"$4,622,414",Fraud
BitBazaar,"$4,202,537",Drugs
Try2check,"$4,075,510",Fraud
Icarus Market,"$3,913,951",Drugs
LuxSocks.ru,"$3,528,662",Fraud
Buybest - GoldenShop,"$3,217,345",Fraud
Basetools - Trustcvv,"$3,174,159",Fraud
Matanga market,"$2,898,035",Drugs
Iceteam Market,"$2,777,271",Drugs
Benumb Shop,"$2,713,428",Fraud
Bankomat.cc,"$2,630,616",Fraud
Yalelodge,"$2,364,576",Fraud
Others,"$15,412,390",
