,name,counterparty_name,amount_usd
6,ASEAN Market,DarkMarket,4725.0
39,Apollon Market,BitBazaar,3419.5
40,Apollon Market,Buybest - GoldenShop,1203.5
41,Apollon Market,Bypass Shop,2083.5
45,Apollon Market,DarkMarket,1058.5
47,Apollon Market,Empire Market,35838.0
50,Apollon Market,FEshop,6223.0
51,Apollon Market,Flugsvamp Market 3.0,1048.5
53,Apollon Market,Hydra Marketplace,38865.5
58,Apollon Market,Joker's Stash Market,2641.5
69,Apollon Market,Unicc,1217.5
75,Apollon Market,Yellow Brick Market,1369.5
81,Approved Credit Card Shop,Hydra Marketplace,8113.0
94,Avaris Market,Empire Market,1120.5
108,Bankomat.cc,Benumb Shop,255879.0
113,Bankomat.cc,Hydra Marketplace,4087.0
117,Bankomat.cc,Try2check,2633.0
119,Bankomat.cc,Unicc,76193.5
121,Basetools - Trustcvv,0day,1919.0
130,Basetools - Trustcvv,FEshop,1990.0
132,Basetools - Trustcvv,Hydra Marketplace,3554.5
135,Basetools - Trustcvv,Joker's Stash Market,1326.0
136,Basetools - Trustcvv,LuxSocks.ru,1626.5
144,Basetools - Trustcvv,Vclub,3697.0
154,Benumb Shop,Hydra Marketplace,81233.0
167,Bestvalid,Hydra Marketplace,1814.5
171,Bestvalid,Try2check,1193.5
172,Bestvalid,Unicc,465679.5
174,Bigmoney,Hydra Marketplace,1526.5
176,BitBazaar,Apollon Market,1985.5
183,BitBazaar,Bypass Shop,1574.5
187,BitBazaar,DarkMarket,4442.0
189,BitBazaar,Empire Market,28478.0
192,BitBazaar,Flugsvamp Market 3.0,1904.0
194,BitBazaar,Hydra Marketplace,3876.5
195,BitBazaar,Icarus Market,2898.5
197,BitBazaar,Joker's Stash Market,1030.5
210,BitBazaar,Yellow Brick Market,5087.5
214,Brian Dumps,Benumb Shop,5278.0
220,BuyBest,Iceteam Market,1751.5
229,Buybest - GoldenShop,Hydra Marketplace,30588.5
234,Buybest - GoldenShop,Try2check,2944.5
237,Bypass Shop,Altenen forum,1103.0
240,Bypass Shop,Benumb Shop,12305.0
253,Bypass Shop,FEshop,47914.0
255,Bypass Shop,Hydra Marketplace,772988.5
260,Bypass Shop,Joker's Stash Market,1223.5
261,Bypass Shop,LuxSocks.ru,1206.0
266,Bypass Shop,SlilPP Market,1155.0
268,Bypass Shop,Try2check,81106.0
270,Bypass Shop,Unicc,9561.0
273,Bypass Shop,Verified Forum,11437.0
276,CC Stock,Benumb Shop,19603.5
277,CC Stock,Bypass Shop,18211.5
280,CC Stock,Hydra Marketplace,68337.0
289,Cindicator shop,DarkMarket,1936.0
305,DarkMarket,BitBazaar,1107.5
306,DarkMarket,Bypass Shop,6047.5
308,DarkMarket,Cindicator shop,2440.0
313,DarkMarket,Empire Market,7991.0
315,DarkMarket,FEshop,19310.5
316,DarkMarket,Flugsvamp Market 3.0,5834.0
318,DarkMarket,Hydra Marketplace,57634.5
319,DarkMarket,Icarus Market,5439.0
323,DarkMarket,Joker's Stash Market,1074.0
330,DarkMarket,The Canadian Headquarters Market,3766.5
335,DarkMarket,Unicc,10302.5
340,DarkMarket,Yalelodge,3195.5
341,DarkMarket,dark.fail Donation Address,1277.0
372,Empire Market,Apollon Market,3106.0
378,Empire Market,BitBazaar,2821.5
381,Empire Market,Bypass Shop,5899.5
383,Empire Market,Cindicator shop,2269.0
384,Empire Market,DarkMarket,9427.5
391,Empire Market,FEshop,10548.0
394,Empire Market,Hydra Marketplace,35192.0
395,Empire Market,Icarus Market,5218.5
399,Empire Market,Joker's Stash Market,12115.0
412,Empire Market,Unicc,6031.0
420,Empire Market,dark.fail Donation Address,41566.5
428,Entershop,Joker's Stash Market,1849.0
435,Entershop,Unicc,33697.5
441,Epic Market,Bypass Shop,2265.5
445,Epic Market,FEshop,3213.0
446,Epic Market,Hydra Marketplace,1699.0
459,Europa Market,Hydra Marketplace,1024.5
477,FEshop,Benumb Shop,4952.0
481,FEshop,Bypass Shop,58616.0
484,FEshop,DarkMarket,1517.5
491,FEshop,Flugsvamp Market 3.0,1000.5
492,FEshop,Hydra Marketplace,858781.5
496,FEshop,Joker's Stash Market,6786.0
