month_year,Total revenue,Total revenue excl. Hydra
Jan '15,27493126.41,27493126.41
Feb '15,29334933.96,29334933.96
Mar '15,28227991.35,28227991.35
Apr '15,27215966.38,27215966.38
May '15,27222853.51,27222853.51
Jun '15,34793696.97,34793696.97
Jul '15,37339466.97,37339466.97
Aug '15,38525686.01,38525686.01
Sep '15,42684112.72,42684112.72
Oct '15,48191157.57,48191157.57
Nov '15,42697119.48,42697068.57
Dec '15,43623977.56,43621545.2
Jan '16,41709568.81,41692841.04
Feb '16,42806391.95,42756628.88
Mar '16,49205847.47,49107801.67
Apr '16,48123043.68,47937111.59
May '16,49223718.63,48934966.32
Jun '16,52750361.78,52313410.46
Jul '16,52624635.31,51997251.96
Aug '16,54575228.15,53717534.15
Sep '16,60699531.62,59587752.26
Oct '16,67791734.88,66277945.22
Nov '16,69950815.47,68218436.4
Dec '16,76392670.93,73915181
Jan '17,72487365.73,69937503.2
Feb '17,75092592.5,72119629.74
Mar '17,87795490.5,84120936.99
Apr '17,90391154.83,86088117.76
May '17,109791128.4,104175340
Jun '17,94487699.06,88301531.86
Jul '17,43991376.74,31194539.62
Aug '17,44144362.36,16263839.34
Sep '17,50024892.16,21682004.08
Oct '17,55375232.87,22314001.03
Nov '17,51050516.15,15812653.41
Dec '17,73428944.07,15985916.31
Jan '18,48853483.35,13613076.33
Feb '18,45971707.75,12963229.66
Mar '18,60273412.55,20847255.41
Apr '18,61130578.64,22340335.91
May '18,59816549.47,19702761.87
Jun '18,60444467.46,16283168.66
Jul '18,66834157.68,17957175.59
Aug '18,68253366.88,19102766.07
Sep '18,72540264.3,23253160.83
Oct '18,78014096.33,22156917.63
Nov '18,74810428.19,19608247.62
Dec '18,84826229.33,20398124.98
Jan '19,73866571.39,17912633.59
Feb '19,74156659.23,15736869.89
Mar '19,90591179.41,21995960.45
Apr '19,115377730.1,42943762.13
May '19,110259875.4,29458804.59
Jun '19,109167719,22141327.92
Jul '19,118190241.2,26195804.25
Aug '19,120638754,25100272.22
Sep '19,129796697.4,34716609.29
Oct '19,193807587.1,93349197.39
Nov '19,131433672.4,29195627.31
Dec '19,154300059.8,33640052.27
Jan '20,134138351.1,32092263.24
Feb '20,124164934.8,21797662.77
Mar '20,124297072.4,24790752.3
Apr '20,122601057.8,31902403.63
May '20,140047170.5,34778838.9
Jun '20,153614281.2,35577382.33
Jul '20,164668092.4,41027629.46
Aug '20,169213237.4,33609035.03
Sep '20,143694898.4,29786177.34
Oct '20,158179444.9,30498605.64
Nov '20,143858676,28494258.72
Dec '20,167452843.7,28862915.52
