week_detailed,0day,ASEAN Market,Abraxas Market,Agartha Market,Agora Market,AlphaBay Market,Altenen forum,Apollon Market,Approved Credit Card Shop,Avaris Market,Bankomat.cc,Basetools - Trustcvv,Benumb Shop,Berlusconi Market,Bestvalid,Bigmoney,BitBazaar,Bitshaking Forum,Brian Dumps,BuyBest,Buybest - GoldenShop,Bypass Shop,CC Stock,Cindicator shop,Cocaine Market,Dark0de Reborn market,DarkMarket,Darkbay Market,Darknet Heroes League Market,DeDope Market,DeepSea Market,Docstagram Shop,Dream Market,Ecards,Elysium Shop,Empire Market,Enclave Forum,Entershop,Epic Market,Europa Market,Eviano Luxury Weed Market,Evolution Market,Exploit.in,FEshop,Flugsvamp Market 2.0,Flugsvamp Market 3.0,FuLLzShOp,Greatdumps,Green Road Market,Gvoice store,Icarus Market,Iceteam Market,Infinity,Isellz.cc,Isomerism Market,JShop,Joker's Stash Market,Korovka forum,LuxSocks.ru,Matanga market,Midland City Market,MrGreen.ws,MyFakeID.biz,N1Shop.cc,Neptune Market,Nightmare Market,Nucleus Market,Olympus Market,Omerta Forum,Oroboros Market,Pluscc,Point Market (former Tochka),Rescator.at,Russian Anonymous Marketplace,Samsara Market,San-Wells Market,Silk Road 3.1,Silk Road Marketplace,SlilPP Market,Swiped,The Canadian Headquarters Market,ToRReZ Market,Topcc,Tor Market,Trump Dumps,Try2check,UAS-Shop.ru,UnderMarket,Unicc,ValidPins Market,Vault Market,Vclub,Vendetta.cc,Verified Forum,Wall Street Market,Weedzy.co.uk,Yakuza Market,Yalelodge,Yellow Brick Market,cardingforums.ws,dark.fail Donation Address,xDedic
2019-12-30/2020-01-05,0,0,0,0,0,0,305.79621,1340617.285,12182.95413,0,12545.29608,36880.30249,26952.18627,0,9951.3049,875.51446,1085.49873,0,80367.4382,22958.97071,237946.6066,321943.1364,5868.97141,0,7996.06538,0,0,0,0,0,0,0,114.49932,0,0,214202.7421,0,2027.32395,7750.3342,0,69.8575,0,0,578056.797,0,278591.8596,4158.29711,146.93333,0,0,0,43518.51575,3818.09362,31.52424,25.93725,2038.17237,355235.8459,0,20401.26305,45420.65809,2576.92662,7602.77009,39.37404,0,0,0,0,0,613.30561,0,0,0,10.78984,0,0,69.09806,0,0,38741.80921,0,1098.50597,0,93.65397,73.3357,2906.98485,13386.10687,5586.321,0,291488.6716,0,0,3225.01202,603.02407,3.61974,311.46834,0,0,320.27309,0,0,29.67533,0
2020-01-06/2020-01-12,1969.11763,0,0,2.09935,0,14.72107,210.53553,2356380.238,3226.06481,0,28566.65466,67931.38393,67430.46278,0,13425.26063,1820.15771,8410.67971,0,129482.7298,25995.97424,331348.1455,496615.0434,10284.91471,0,3698.80202,0,0,0,0,0,0,0,0,0,0,391473.9353,0,8857.72399,15639.6179,0,1462.22689,0,0,1097628.686,0,463278.1339,2351.34881,436.68451,35.05122,0,0,46962.60577,3954.66341,159.74281,534.04049,3927.25235,773168.7919,0,47092.29404,74740.28529,3383.72694,15297.15244,109.26911,0,0,69.39561,0,0,1125.48293,0,0,0,0,0,22.19889,84.01735,0,0,67502.81514,0,6774.56383,0,36568.94601,452.39474,9590.60052,43348.95638,15851.05901,0,610473.4982,0,0,3021.25557,1670.07295,684.31763,0,0,0,1138.14438,0,0,805.10598,0
2020-01-13/2020-01-19,26.34605,0,0,0.60103,0,0,592.34451,2248301.55,0,0,30022.42546,70148.11556,70596.92361,0,16634.98697,691.84431,21085.43607,0,158177.542,24054.69965,320290.3288,531222.6421,8446.52582,0,6656.99315,0,0,0,0,0,0,0,0,0,0,506231.8467,0,9365.67294,10701.84591,0,81.8149,0,0,1066708.052,0,475255.1809,5096.65179,103.19733,0,0,0,53099.76851,4110.36157,72.62795,305.72214,2544.34526,582544.3133,0,54497.59854,84718.696,3362.91799,13220.69646,388.29904,0,0,0,0,0,1197.90113,0,0,0,0,0,0,188.68459,0,0,53800.1113,0,8592.33975,0,17532.51745,265.36883,7025.89798,75058.02993,13613.18457,0,676610.3329,0,0,7350.15458,327.53552,1543.98426,0,0,0,32271.06357,40.58522,0,269.79798,0
2020-01-20/2020-01-26,2393.4148,0,0,6.5359,0,0,535.15571,2147300.366,0,0,22176.41666,60768.70411,63111.70563,0,13299.87508,985.68142,14237.4348,0,168277.9689,25386.61733,301670.9365,528239.3124,10738.7584,0,3392.52909,0,0,0,0,0,0,0,0,0,0,1036274.147,0,7240.83478,5958.54386,0,169.8584,0,0,1029910.315,0,643286.2433,1766.44551,144.72544,0,0,0,48123.42055,4829.66688,99.45628,423.41669,2910.43642,452573.0934,0,51107.10193,82578.37822,2336.27154,4288.28272,337.04967,0,0,0,0,0,1682.67448,0,0,0,134.94162,0,0,130.42496,0,0,78868.31516,0.20036,6157.34351,0,236.5766,581.28824,8679.53423,34448.88566,10015.27655,0,562368.1985,0,0,5552.1186,134.52991,1249.28065,0,0,0,25745.83956,5540.80893,0,0.33154,0
2020-01-27/2020-02-02,1.11027,0,0,64.29395,0,439.59693,306.06297,1550107.393,0,6999.95194,15150.90412,67890.98081,63450.91274,0,18366.06471,433.45838,32913.34447,0,194026.8195,20313.72872,263042.2532,532978.9761,12873.97893,0,4211.86637,0,0,7277.85736,0,0,0,0,0,0,0,192844.8795,0,6436.49807,8922.09368,0,0,0,691.81977,1013083.151,0,612309.3103,1.20023,44.2305,0,0,0,48337.01719,3760.12047,136.63346,6.57845,3476.13285,168643.6941,0,53602.84272,96322.76285,2784.05195,6168.5502,89.03541,0,0,0,0,0,2237.52744,0,0,0,28.34096,0,4.16421,255.85515,0,0,82451.42936,11.31675,4472.33846,0,60.87848,565.93183,10471.94044,47012.29233,11533.82447,0,658421.3491,0,0,8718.15592,769.31893,125.92403,0,0,0,37383.11849,32254.06432,0,42.9049,0
2020-02-03/2020-02-09,3975.11256,0,0,153.58517,0,0,502.77589,474937.2909,0,23539.70509,19888.80972,73946.47498,63125.15791,0,20702.1821,0,116410.0951,0,163014.9593,19704.3413,275589.2447,521976.7685,9994.15081,0,7149.35312,0,300.60407,8147.42986,0,0,0,0,0,0,0,388679.8892,0,1477.16962,10692.28978,2.00094,0,0,6076.29766,1021636.08,0,550634.4585,4271.77698,0,0,0,0,52196.65573,5382.08001,80.21533,0,2501.3925,112821.4437,0,58348.45299,94233.84083,3585.78051,8792.14423,145.48948,0,0,0,0,0,3206.00793,0,0,0,153.95725,0,0,0,0,0.29825,80357.37568,4166.00869,2993.56025,0,91.00163,1146.43124,7433.22327,42831.73657,18320.72542,0,622422.8385,0,0,10841.5025,553.81978,2529.80861,0,0,0,29740.01592,74766.68497,0,58.82736,0
2020-02-10/2020-02-16,9.90322,0,0,368.28134,0,0,202.78394,289700.6161,7602.67152,30555.02535,20300.36983,67534.5259,59238.69484,0,23751.81516,0,166093.7426,0,69870.1427,20074.7574,258714.187,492875.3281,8698.24735,0,3856.3246,0,0,9208.15893,27.11422,0,0,0,0,10.90051,0,131584.601,0,4613.907,5446.67832,0,102.27129,0,4199.68096,1134883.407,0,437370.5034,2175.66668,0,0,0,0,68894.20735,4553.25161,130.23602,0,2533.75322,95702.66127,0,54055.24995,95731.96965,2465.17327,5157.32644,451.99599,0,0,0,0,0,1024.30631,0,4371.79384,0,16.1526,0,0,0,0,0,69264.83442,11076.49916,1690.83307,0,23.75465,766.7007,6744.80211,62962.21265,15933.71654,0,667643.222,0,0,9586.73432,1830.69979,27683.3496,0,0,0,26352.05078,113553.7638,0,5.15032,0
2020-02-17/2020-02-23,3510.6478,0,0,0.86029,0,0,1983.4413,120694.9255,0,41190.31067,22039.8117,76423.93407,46513.2096,0,30315.98535,0,135463.6331,0,185702.2629,19958.78577,261629.8999,537336.3496,6939.20033,0,2222.6231,0,0,4463.97052,0,0,0,0,0,0,0,707232.9365,0,9499.95623,5507.07108,0,0,0,4477.6807,1061661.039,0,421417.8449,1338.27247,0,0,0,0,60717.97402,5930.79834,212.63252,0,3579.89334,84211.48595,0,53625.57649,106238.4152,2645.59933,3442.12905,426.12512,0,0,0,0,0,1006.25053,0,2185.96575,0,0,0,101.9445,0,0,0,74030.666,11370.41333,2282.5906,0,0,8728.99938,5527.57893,48768.0177,13823.09181,0,724612.1228,0,0,16949.07958,1676.86032,7718.47844,0,0,0,38693.77135,71425.21286,0,58.50175,0
2020-02-24/2020-03-01,11921.45108,0,0,0,0,0,100.02746,547.82888,0,42102.43296,19865.14931,62562.7091,44663.61672,0,22530.8518,0,191071.3496,0,138681.0148,25148.20664,304227.8525,547739.2485,7408.96891,0,3818.04281,0,0,2080.93699,0,0,0,383.94683,0,0,0,1773641.986,0,6218.27041,4336.44935,0,0,0,4191.98662,962444.1986,124.99338,619722.9538,5083.33941,0,0,0,0,39202.74862,6733.07632,42.17115,0,3048.14416,11432.35052,0,50720.2026,85060.39021,3227.4442,4396.07449,130.34712,0,0,0,0,0,2061.47307,0,0,0,0,0,0,40.28824,0,0,74758.12774,3053.82736,944.29626,0,0,6408.03611,5718.20723,76626.28344,14326.18967,0,663329.0692,0,0,23776.51194,101.10013,9182.15916,107.63531,0,4.98783,25018.23098,92899.66072,0,63.66867,0
2020-03-02/2020-03-08,5404.29958,0,0,0,0,0,304.55263,215.74074,0,24570.3466,26506.4912,67170.1802,53210.97642,0,23419.75346,0,173422.7014,0,117106.4306,20066.26729,297375.8261,540229.7359,7977.81277,0,2917.22676,0,265.55959,2035.20822,0,0,0,895.0446,0,0,0,889064.1346,0,8230.50535,9239.27957,480.94755,0,0,6081.90256,1024303.418,0,428892.3727,8347.25835,0,0,0,0,39373.7347,6466.56097,264.17932,0,3833.04303,83615.98244,0,62091.01423,79412.27884,2465.40469,6459.136,107.99628,0,0,0,0,0,1003.81397,0,0,0,12.76324,0,0,16.97683,0,0,78072.06058,0,1596.19525,0,111.09736,1780.66681,7394.41545,81692.88676,15847.05451,0,690431.301,0,0,19472.54003,842.19386,8748.96988,0,0,0,0,72254.41281,0,107.41059,0
