week,ATMs,Child abuse material,Darknet markets,Exchanges,Gambling,High risk exchanges,High risk jurisdictions,Hosted wallets,ICOs,Merchant services,Mining,Mixing,Other,P2P exchanges,Ransomware,Sanctions,Scams,Stolen funds,Terrorism financing,Unnamed services
2019-12-30/2020-01-05,260291,166,1693168.5,11394862.5,65529,2499086,5123,76021,38,135914.5,145209.5,149002.5,12035,3969660,6814.5,0,19926,869,0,371359.5
2020-01-06/2020-01-12,445308,300,3464207.5,12969707.5,264521,3679352.5,4480.5,111169,0,228852.5,234454.5,366117,25962,5549040.5,55745,2,29317,4796,0,1162350.5
2020-01-13/2020-01-19,402354,0,4198924.5,14050357.5,86580.5,3566962.5,2930.5,126698.5,89.5,278781.5,270620,553321,19883.5,5594175,58195.5,2.5,28358.5,3795,8.5,1018831
2020-01-20/2020-01-26,443867,0,4915256,13913823,78414,3063150.5,1946.5,108636,226.5,242121,237832.5,368464.5,24860,5680710,7762,4,24839,2450.5,0,2115368.5
2020-01-27/2020-02-02,369647,0,3279133,12772264.5,93094,3593198,3024.5,101553.5,138.5,258227,291588,1097775.5,18377.5,6139026,21608.5,0,65932,6495.5,4.5,1139183
2020-02-03/2020-02-09,313601.5,0,3922177.5,10810651,129322,3649054.5,3127,80274.5,150.5,217689,316546,692469,19932.5,6682902.5,18980,3,42617,5661.5,0,1076777.5
2020-02-10/2020-02-16,318193.5,0,3263491.5,12750345.5,73965,4139400.5,1689.5,117399.5,20.5,278441,276976.5,397081,11325.5,6700269.5,58826.5,2,29245.5,15780.5,23.5,748180.5
2020-02-17/2020-02-23,308944,0,4056418,11996123,347946.5,3286653.5,2444,86571.5,2,254670.5,253180,635401.5,14596.5,6704020.5,47970.5,2.5,28577,5075,0,1247661
2020-02-24/2020-03-01,335615.5,0,3582823,14239695.5,72854.5,3420607.5,3824.5,101041,151.5,323909.5,295511,260438.5,26677,6235028.5,67219,0,16208,11399.5,0,908019
2020-03-02/2020-03-08,356267.5,119,3093392,12114681,76329,3176490,2121.5,120867,73.5,480741.5,228892,558316.5,24686.5,6396386.5,40260,0,30882.5,33387.5,4.5,1135125.5
2020-03-09/2020-03-15,363128,0,2127164,14418744.5,240608.5,3225325,604,82505.5,12.5,247281,120235,249469.5,28716.5,5551090.5,28083,1.5,14647,8846.5,0,1202651.5
2020-03-16/2020-03-22,308299,0,2017792.5,12952255,218547,3183430.5,991,73115,0,278205,71119,910012.5,29745,6023194,62103,0,17400.5,2306.5,0,799250.5
2020-03-23/2020-03-29,349713,0,2836738,11740642,125649.5,3284938,490,136388,87,194136.5,118774,487418,19438.5,5908146,164559.5,2.5,601830,17676.5,4.5,436396.5
2020-03-30/2020-04-05,402367.5,4.5,2662937,10724740.5,84596,4054638,725,85077,302.5,148104.5,90458.5,287335,31265.5,5638973,19226.5,0,1025006,1130,0,387741.5
2020-04-06/2020-04-12,449341,0,2565457,12570505.5,74557,4660606.5,980,118389,5.5,235292.5,136233,442399,19576.5,4918354.5,14676.5,0,665662,3450.5,0,663494
2020-04-13/2020-04-19,509319.5,0,2233264.5,14153884,63379,4526119.5,1221.5,144849,87,257109.5,130279,432918.5,19032,4828292,139343.5,3,52702.5,1379.5,0,610347
2020-04-20/2020-04-26,465936,7.5,2750765.5,14627738,71529.5,4032298.5,1328,158159,23.5,239596.5,189449.5,264511,20086.5,4657069.5,195106,2.5,13803.5,3930,0,787241
2020-04-27/2020-05-03,540204,0,3175219,13021668,71450.5,5075105,2742,114593.5,147.5,281777.5,204599.5,451187,18790.5,4693886.5,201825.5,2.5,16505.5,8040.5,0,999716
2020-05-04/2020-05-10,564526,0,2747488,12501174,61963,4615829,672.5,207471.5,113,238737,255302,437394.5,12424,4680255.5,108068,0,22706,12799,0,1201422.5
2020-05-11/2020-05-17,550112.5,18.5,3188686.5,13114076.5,60086.5,5116490.5,850,157090.5,5.5,233138,233991,516954.5,16092.5,4712433.5,77221.5,2.5,55523,48223.5,5.5,1395698.5
2020-05-18/2020-05-24,528747,26,4727611.5,13879934.5,84902.5,5528967,1099,159885.5,37.5,256655,195623,732805.5,18174,4871851,36160.5,1.5,47224,100112,0,1306266
2020-05-25/2020-05-31,448858.5,0,4421864,14922342.5,102261,5858016,473.5,164564.5,66.5,292233,244738,399677,16050,4813825.5,136810,1.5,52292,69569,2.5,1690127
